Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
David de Gea,Manchester United,Goalkeeper,21,168,6,1.0,0,2.24,2.24,89,14,67,40,0,0,92.8,
Anders Lindegaard,Manchester United,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Víctor Valdés,Manchester United,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Ben Amos,Manchester United,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Petr Cech,Chelsea,Goalkeeper,3,74,3,0.0,0,1.0,3.0,33,67,51,49,0,0,29.0,
Thibaut Courtois,Chelsea,Goalkeeper,19,235,7,1.0,0,1.58,1.67,100,26,63,43,1,0,75.6,
Mark Schwarzer,Leicester City,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Mitchell Beeney,Chelsea,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Bradley Jones,Liverpool,Goalkeeper,3,38,0,1.67,0,1.0,0.6,67,0,66,38,0,0,26.0,
Simon Mignolet,Liverpool,Goalkeeper,19,158,6,1.16,0,1.53,1.45,94,53,71,37,0,0,74.6,
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Danny Ward,Liverpool,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
Wojciech Szczesny,Arsenal,Goalkeeper,17,41,3,1.24,0,1.65,1.4,95,12,68,36,1,0,69.0,
David Ospina,Arsenal,Goalkeeper,1,32,1,0.0,0,2.0,2.0,100,0,63,46,0,0,43.0,
Emiliano Martinez,Arsenal,Goalkeeper,4,27,2,1.0,0,0.75,0.75,95,25,63,39,0,0,25.0,
Ryan Huddart,Arsenal,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Deyan Iliev,Arsenal,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Matt Macey,Arsenal,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Luke McGee,Tottenham Hotspur,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Hugo Lloris,Tottenham Hotspur,Goalkeeper,21,194,5,1.38,0,2.67,2.0,95,62,65,41,0,0,100.4,
Michel Vorm,Tottenham Hotspur,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Brad Friedel,Tottenham Hotspur,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
