Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points,,,Player Name
Cristiano Ronaldo,Real Madrid,Forward,16,1338,26,74,0,39,81,14,50,1,0,3,0,230.76,1338,-1107.24,Cristiano Ronaldo
Eden Hazard,Chelsea,Midfielder,21,985,8,53,0,53,88,15,63,1,0,1,0,216,985,-769,Eden Hazard
Alexis Sánchez,Arsenal,Forward,20,749,12,67,0,56,77,16,47,1,1,3,0,209.15,749,-539.85,Alexis Sánchez
Lionel Messi,Barcelona,Forward,18,1392,16,63,0,45,84,14,55,0,1,3,0,204.37,1392,-1187.63,Lionel Messi
John Terry,Chelsea,Defender,21,679,3,80,0,5,92,19,71,7,2,0,0,202.75,679,-476.25,John Terry
Branislav Ivanovic,Chelsea,Defender,21,453,2,29,0,23,81,19,58,6,1,4,1,198.25,453,-254.75,Branislav Ivanovic
Christian Eriksen,Tottenham Hotspur,Midfielder,21,611,7,48,0,45,84,17,50,1,0,3,0,192,611,-419,Christian Eriksen
Winston Reid,West Ham United,Defender,20,319,1,25,0,5,80,22,59,13,0,8,0,189.75,319,-129.25,Winston Reid
Aaron Cresswell,West Ham United,Defender,21,122,1,60,0,22,75,22,54,6,2,3,0,188.5,122,66.5,Aaron Cresswell
Stewart Downing,West Ham United,Midfielder,20,681,4,48,0,56,86,20,46,2,1,1,0,187,681,-494,Stewart Downing
Diego Costa,Chelsea,Forward,18,532,15,72,0,30,79,12,38,1,0,7,0,183.395,532,-348.605,Diego Costa
Martin Skrtel,Liverpool,Defender,18,578,1,22,0,3,92,19,63,13,4,5,0,182.25,578,-395.75,Martin Skrtel
Santiago Cazorla,Arsenal,Midfielder,20,776,4,54,0,47,88,16,59,2,0,4,0,182,776,-594,Santiago Cazorla
Cesc Fàbregas,Chelsea,Midfielder,20,630,2,59,0,63,87,19,46,2,0,7,0,178,630,-452,Cesc Fàbregas
Raheem Sterling,Liverpool,Midfielder,20,541,4,54,0,49,80,14,55,1,0,3,0,176,541,-365,Raheem Sterling
Steven Gerrard,Liverpool,Midfielder,20,487,5,48,0,41,86,21,45,3,1,5,0,175,487,-312,Steven Gerrard
Ryan Bertrand,Southampton,Defender,20,377,2,50,0,17,79,19,56,4,0,2,0,173.75,377,-203.25,Ryan Bertrand
James Tomkins,West Ham United,Defender,15,390,1,27,0,8,77,23,67,12,1,5,0,172,390,-218,James Tomkins
Gary Cahill,Chelsea,Defender,20,418,1,45,0,2,87,20,60,8,4,3,0,166.5,418,-251.5,Gary Cahill
Per Mertesacker,Arsenal,Defender,20,468,0,13,0,2,89,18,63,8,2,2,0,165.5,468,-302.5,Per Mertesacker
